Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Gender,Debut Age,BMI,Debut Year,Current Year,Career Length
Bian,Yu Jiwon,2001-02-13,MAJORS,2021-03-09,ANS,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2021,2024,3
Bic,Nam Seungmin,2001-04-25,MCND,2020-02-27,TOP Media,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2020,2024,4
Bin,Kwon Soobin,1993-10-28,Hot Blood Youth,2017-05-17,FNC,South Korea,170.0,57.0,Unknown,M,24,19.723183391003463,2017,2024,7
Bit,No Minjae,2004-07-21,BAE173,2020-11-19,PocketDol,South Korea,170.0,57.0,Unknown,M,16,19.723183391003463,2020,2024,4
Bitsaeon,Kim Sangyeon,1995-06-04,MONT,2014-05-14,Starship,South Korea,181.0,60.0,Unknown,M,19,18.314459265590184,2014,2024,10
Bitto,Lee Changhyun,1996-08-24,UP10TION,2015-09-10,TOP Media,South Korea,170.0,57.0,Dongducheon,M,19,19.723183391003463,2015,2024,9
B-Joo,Kim Byungjoo,1994-01-08,Topp Dogg,2020-04-01,n.CH,South Korea,170.0,57.0,Seoul,M,26,19.723183391003463,2020,2024,4
Blue,Jung Gahee,1994-01-18,Pungdeng-E,2013-12-11,DOMA,South Korea,161.0,57.0,Gwangju,F,20,21.98989236526368,2013,2024,11
BM,Matthew Kim,1992-10-20,KARD,2007-03-29,DSP,South Korea,170.0,57.0,Unknown,M,14,19.723183391003463,2007,2024,17
Boa,Kim Boah,1987-01-14,KEEMBO,2020-04-10,ARA-LINE,South Korea,170.0,57.0,Unknown,F,33,19.723183391003463,2020,2024,4
Bobby,Kim Jiwon,1995-12-21,iKON,2015-09-15,YG,South Korea,170.0,57.0,Seoul,M,20,19.723183391003463,2015,2024,9
Boeun,Park Boeun,2008-02-11,CLASS:y,2022-05-05,Universal,South Korea,155.0,57.0,Unknown,F,14,23.725286160249738,2022,2024,2
Bohyung,Kim Bohyung,1991-03-31,KEEMBO,2020-04-10,ARA-LINE,South Korea,170.0,57.0,Unknown,F,29,19.723183391003463,2020,2024,4
Bokeun,Kim Bokeun,1994-10-12,SIGNAL,2019-08-28,J-Star,South Korea,170.0,57.0,Unknown,M,25,19.723183391003463,2019,2024,5
Bom,Park Bom,1984-03-24,2NE1,2009-05-06,YG,South Korea,170.0,57.0,Unknown,F,25,19.723183391003463,2009,2024,15
Bomi,Yoon Bomi,1993-08-13,Apink,2011-04-19,Plan A,South Korea,163.0,57.0,Suwon,F,18,21.453573713726524,2011,2024,13
Bomin,Choi Bomin,2000-08-24,Golden Child,2017-08-28,Woollim,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2017,2024,7
Bomin,Kim Bomin,2001-09-24,RedSquare,2020-05-19,About,South Korea,170.0,57.0,Gwangju,F,19,19.723183391003463,2020,2024,4
Bona,Kim Jiyeon,1995-08-19,WJSN,2016-02-25,Starship,South Korea,163.0,57.0,Daegu,F,21,21.453573713726524,2016,2024,8
Boni,Choi Euijeong,1999-10-30,Dreamnote,2018-11-07,iME,South Korea,160.0,45.0,Unknown,F,19,17.578124999999996,2018,2024,6
Bora,Kim Bora,1999-03-03,Cherry Bullet,2019-01-21,FNC,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2019,2024,5
Bora,Yoon Bora,1989-12-30,SISTAR,2010-03-06,Starship,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2010,2024,14
Bullet,Jin Junwoo,1995-12-02,VARSITY,2017-01-05,GKC,South Korea,182.0,65.0,Seoul,M,21,19.623233908948194,2017,2024,7
BX,Lee Byounggon,1998-03-05,CIX,2019-07-23,C9,South Korea,180.0,61.0,Incheon,M,21,18.827160493827158,2019,2024,5
Byeongkwan,Kim Byeongkwan,1996-08-13,A.C.E,2017-05-23,Beat,South Korea,170.0,57.0,Seoul,M,21,19.723183391003463,2017,2024,7
Byungchan,Choi Byungchan,1997-11-12,VICTON,2016-11-09,Plan A,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2016,2024,8
C.A.P,Bang Minsoo,1992-11-04,Teen Top,2010-07-09,TOP Media,South Korea,170.0,57.0,Seongnam,M,18,19.723183391003463,2010,2024,14
Cao Lu,Cao Lu,1987-08-30,Fiestar,2012-08-31,LOEN,China,166.0,57.0,Zhangjiajie,F,25,20.685150239512268,2012,2024,12
Casper,Chu Xiaoxiang,1991-03-20,CROSS GENE,2012-07-08,Amuse,China,176.0,66.0,Shanghai,M,21,21.306818181818183,2012,2024,12
Castle J,Son Sangjoon,1999-05-31,MCND,2020-02-27,TOP Media,South Korea,170.0,57.0,Unknown,M,21,19.723183391003463,2020,2024,4
Cha Hoon,Cha Hoon,1994-07-12,N.Flying,2015-05-20,FNC,South Korea,170.0,57.0,Seoul,M,21,19.723183391003463,2015,2024,9
Chaebin,Choi Yoobin,1999-07-28,NATURE,2018-08-03,n.CH,South Korea,170.0,57.0,Unknown,F,19,19.723183391003463,2018,2024,6
Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,2017-01-01,Maroo,South Korea,163.0,57.0,Unknown,F,17,21.453573713726524,2017,2024,7
Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,2022-03-01,WakeOne,South Korea,160.0,57.0,Unknown,F,20,22.265624999999996,2022,2024,2
Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,2021-03-15,RBW,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2021,2024,3
Chaejeong,Lee Chaejeong,1999-08-26,ALICE,2017-07-01,IOK Company,South Korea,164.0,48.0,Unknown,F,18,17.846519928613922,2017,2024,7
Chaejin,Chae Jinseok,1995-12-26,MYNAME,2011-10-27,H2,South Korea,170.0,57.0,Seoul,M,16,19.723183391003463,2011,2024,13
Chaekyung,Yoon Chaekyung,1996-07-07,APRIL,2015-08-24,DSP,South Korea,160.0,45.0,Incheon,F,19,17.578124999999996,2015,2024,9
Chaelin,Lee Chaelin,1999-10-20,FANATICS,2019-08-06,FENT,South Korea,162.0,47.0,Unknown,F,20,17.908855357415025,2019,2024,5
Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,2019-01-21,FNC,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2019,2024,5
Chaerin,Park Chaerin,2003-03-31,ICHILLIN',2021-09-08,KM,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2021,2024,3
Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,2019-02-12,JYP,South Korea,170.0,57.0,Yongin,F,18,19.723183391003463,2019,2024,5
Chaesol,Maeng Chaesol,1998-07-14,Cignature,2020-02-04,C9,South Korea,170.0,57.0,Yeosu,F,22,19.723183391003463,2020,2024,4
Chaewon,Kim Chaewon,1997-11-08,APRIL,2015-08-24,DSP,South Korea,170.0,57.0,Gongju,F,18,19.723183391003463,2015,2024,9
Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,2022-05-05,Universal,South Korea,163.0,57.0,Unknown,F,19,21.453573713726524,2022,2024,2
Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,2022-05-02,Source,South Korea,170.0,57.0,Seoul,F,22,19.723183391003463,2022,2024,2
Chaewon,Lee Chaewon,2000-03-18,Maka Maka,2020-08-04,Dreamus,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2020,2024,4
ChaeY,Song Chaeyeon,2003-01-06,CRAXY,2020-03-03,SAITEINMENT,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2020,2024,4
Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,2015-07-14,MBK,South Korea,165.0,49.0,Suncheon,F,18,17.99816345270891,2015,2024,9
Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,2018-10-29,Off The Record,South Korea,170.0,57.0,Yongin,F,19,19.723183391003463,2018,2024,6
Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,2023-02-13,MODHAUS,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2023,2024,1
Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,2018-01-24,Off The Record,South Korea,170.0,57.0,Pohang,F,18,19.723183391003463,2018,2024,6
Chaeyoung,Son Chaeyoung,1999-04-23,Twice,2015-10-20,JYP,South Korea,159.0,57.0,Seoul,F,16,22.54657648036074,2015,2024,9
Chahee,Park Sooyoung,1996-03-24,MELODYDAY,2019-09-25,KD,South Korea,167.0,57.0,Unknown,F,24,20.43816558499767,2019,2024,5
Chan,Kang Yoochan,1997-12-31,A.C.E,2017-05-23,Beat,South Korea,170.0,57.0,Jeju,M,19,19.723183391003463,2017,2024,7
Chan,Jung Chanwoo,1998-01-26,iKON,2015-09-15,YG,South Korea,170.0,57.0,Yongin,M,18,19.723183391003463,2015,2024,9
Chan,Jo Chanhyuk,1999-12-08,TOO,2020-04-01,n.CH,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2020,2024,4
Changbin,Seo Changbin,1999-08-11,Stray Kids,2018-03-25,JYP,South Korea,170.0,57.0,Yongin,M,19,19.723183391003463,2018,2024,6
Changgyu,Song Changgyu,1993-07-06,UNVS,2020-02-23,CHITWN,South Korea,170.0,57.0,Unknown,M,27,19.723183391003463,2020,2024,4
Changjo,Choi Jonghyun,1995-11-16,Teen Top,2010-07-09,TOP Media,South Korea,170.0,57.0,Chuncheon,M,15,19.723183391003463,2010,2024,14
Changsub,Lee Changsub,1991-02-26,BtoB,2012-03-21,Cube,South Korea,177.0,64.0,Suwon,M,21,20.428357113217785,2012,2024,12
Changsun,Lee Changsun,1996-03-17,24K,2012-09-06,Choeun,South Korea,179.0,58.0,Unknown,M,16,18.101807059704754,2012,2024,12
Changuk,Joo Changuk,2001-07-25,DRIPPIN,2020-10-26,Woollim,South Korea,184.0,59.0,Unknown,M,19,17.426748582230623,2020,2024,4
Chani,Kang Chanhee,2000-01-17,SF9,2016-10-05,FNC,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2016,2024,8
Chanmi,Kim Chanmi,1996-06-19,AoA,2012-07-30,FNC,South Korea,166.0,47.0,Gumi,F,16,17.056176513282043,2012,2024,12
Chansung,Hwang Chansung,1990-02-11,2PM,2008-07-04,JYP,South Korea,184.0,75.0,Seoul,M,18,22.152646502835537,2008,2024,16
Chanty,Maria Chantal Videla,2002-12-15,Lapillus,2022-06-22,MLD,Philippines,170.0,57.0,Manila,F,20,19.723183391003463,2022,2024,2
Chanyeol,Park Chanyeol,1992-11-27,EXO,2012-04-08,SM,South Korea,185.0,70.0,Seoul,M,19,20.45288531775018,2012,2024,12
Chanyong,Kim Chanyong,1993-04-29,100%,2012-09-18,TOP Media,South Korea,170.0,57.0,Suwon,M,19,19.723183391003463,2012,2024,12
Chanyoung,Kim Chanyoung,2000-11-20,D-CRUNCH,2018-08-06,All-S,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2018,2024,6
Chen,Kim Jongdae,1992-09-21,EXO,2012-04-08,SM,South Korea,173.0,64.0,Silheung,M,20,21.383941996057334,2012,2024,12
Chenle,Zhong Chenle,2001-11-22,NCT,2016-04-09,SM,China,170.0,57.0,Shanghai,M,14,19.723183391003463,2016,2024,8
Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,2013-04-26,LOEN,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2013,2024,11
Chi.u,Lee Jaeyi,1998-08-16,X:IN,2023-04-11,Escrow,South Korea,170.0,57.0,Unknown,F,25,19.723183391003463,2023,2024,1
Chiayi,Li Chiayi,2000-01-22,FANATICS,2019-08-06,FENT,Taiwan,164.0,57.0,Unknown,F,20,21.192742415229034,2019,2024,5
Chihoon,Choi Chihoon,1999-04-27,TOO,2020-04-01,n.CH,South Korea,170.0,57.0,Unknown,M,21,19.723183391003463,2020,2024,4
Chiwoo,Guk Seungjun,2002-09-02,Kingdom,2021-02-18,GF,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2021,2024,3
Chloe,Yun Jiwon,2001-01-06,Cignature,2020-02-04,C9,South Korea,163.0,57.0,Seoul,F,19,21.453573713726524,2020,2024,4
Choa,Heo Minjin,1990-07-12,Crayon Pop,2012-07-18,Chrome,South Korea,161.0,57.0,Seoul,F,22,21.98989236526368,2012,2024,12
Choerry,Choi Yerim,2001-06-04,LOONA,2018-08-20,Blockberry,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2018,2024,6
Choi In,Choi In,1996-02-11,E'LAST,2020-06-09,E Entertainment,South Korea,170.0,50.0,Unknown,M,24,17.301038062283737,2020,2024,4
Choi Jiann,Choi Jaewoo,1997-09-30,Newkidd,2019-04-25,J-FLO,South Korea,175.0,57.0,Unknown,M,22,18.612244897959183,2019,2024,5
Chorong,Park Chorong,1991-03-03,Apink,2011-04-19,Plan A,South Korea,165.0,57.0,Chungwongoon,F,20,20.936639118457304,2011,2024,13
Chowon,Kim Chowon,2005-08-18,ICHILLIN',2021-09-08,KM,South Korea,170.0,57.0,Unknown,F,16,19.723183391003463,2021,2024,3
Chowon,Han Chowon,2002-09-16,LIGHTSUM,2021-06-10,Cube,South Korea,168.0,50.0,Seoul,F,19,17.71541950113379,2021,2024,3
Choyeon,Kim Choyeon,2001-08-01,bugAboo,2021-10-25,A team,South Korea,164.0,44.0,Unknown,F,20,16.359309934562763,2021,2024,3
Chris,Han Chris,2002-11-19,BLITZERS,2021-05-12,Wuzo,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2021,2024,3
Chunji,Lee Chanhee,1993-10-05,Teen Top,2010-07-09,TOP Media,South Korea,170.0,57.0,Seongnam,M,17,19.723183391003463,2010,2024,14
Chuu,Kim Jiwoo,1999-10-20,LOONA,2018-08-20,Blockberry,South Korea,170.0,57.0,Cheongju,F,19,19.723183391003463,2018,2024,6
CL,Lee Chaerin,1991-02-26,2NE1,2009-05-06,YG,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2009,2024,15
CNU,Shin Dongwoo,1991-06-16,B1A4,2010-04-19,WM,South Korea,182.0,64.0,Seoul,M,19,19.32133800265668,2010,2024,14
Cory,Hong Joohyung,1990-11-25,24K,2012-09-06,Choeun,South Korea,175.0,58.0,Daegu,M,22,18.93877551020408,2012,2024,12
Cui Xiang,Cui Xiang,1995-01-26,BOTOPASS,2020-08-26,WKS ENE,China,170.0,57.0,Unknown,F,26,19.723183391003463,2020,2024,4
Cya,Lee Giwook,2000-01-24,Onewe,2019-01-09,RBW,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2019,2024,5
Cyan,Lee Chaeeun,2001-04-04,bugAboo,2021-10-25,A team,South Korea,170.0,57.0,Sanbon,F,21,19.723183391003463,2021,2024,3
D.ana,Cho Eunae,1995-09-10,Sonamoo,2014-12-29,TS,South Korea,170.0,57.0,Seoul,F,19,19.723183391003463,2014,2024,10
D.O.,Do Kyungsoo,1993-01-12,EXO,2012-04-08,SM,South Korea,173.0,60.0,Gyeonggi,M,19,20.04744562130375,2012,2024,12
D1,Jang Dongil,1998-02-15,DKB,2020-02-03,Brave,South Korea,174.0,59.0,Unknown,M,22,19.487382745408905,2020,2024,4
Dabi,Park Jiwon,2000-01-19,AREAL,2020-08-21,JZ Factory,South Korea,170.0,57.0,Unknown,F,21,19.723183391003463,2020,2024,4
Daehwi,Lee Daehwi,2001-01-29,AB6IX,2019-05-22,Brand New,South Korea,170.0,57.0,Seoul,M,18,19.723183391003463,2019,2024,5
Daehyeon,Jang Daehyeon,1997-02-11,WEi,2020-10-05,OUI,South Korea,175.0,57.0,Unknown,M,24,18.612244897959183,2020,2024,4
Daehyun,Jung Daehyun,1993-06-28,B.A.P,2012-01-27,TS,South Korea,177.0,63.0,Busan,M,19,20.109164033323754,2012,2024,12
Daesung,Daesung,1989-04-26,BIGBANG,2006-08-19,YG,South Korea,178.0,63.0,Incheon,M,17,19.883853048857468,2006,2024,18
Daeun,Jung Daeun,1994-06-03,2EYES,2013-07-20,SidusHQ,South Korea,161.0,57.0,Bucheon,F,19,21.98989236526368,2013,2024,11
Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,49.0,Unknown,F,23,18.670934308794386,2018,2024,6
Daeyeol,Lee Daeyeol,1993-02-11,Golden Child,2017-08-28,Woollim,South Korea,170.0,57.0,Yongin,M,25,19.723183391003463,2017,2024,7
Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,2019-08-07,Woollim,South Korea,160.0,57.0,Unknown,F,14,22.265624999999996,2019,2024,5
Dahyun,Seo Dahyun,2003-01-08,tripleS,2023-02-13,MODHAUS,South Korea,160.0,57.0,Busan,F,20,22.265624999999996,2023,2024,1
Dahyun,Kim Dahyun,1998-05-28,Twice,2015-10-20,JYP,South Korea,165.0,57.0,Seongnam,F,17,20.936639118457304,2015,2024,9
Dain,Jung Dain,2004-12-15,HOT ISSUE,2017-05-17,FNC,South Korea,170.0,57.0,Unknown,F,12,19.723183391003463,2017,2024,7
Dajeong,Kim Dajeong,1995-08-08,Hash Tag,2017-10-11,LUK,South Korea,170.0,57.0,Gwangju,F,22,19.723183391003463,2017,2024,7
Dajeong,Jung Dajeong,2003-07-31,Pixy,2021-02-24,ALLART,South Korea,157.0,42.0,Unknown,F,18,17.03923080043815,2021,2024,3
Dakyung,Jung Dakyung,2001-07-23,Hi-L,2021-08-11,Kpop Live,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2021,2024,3
Dalyn,Lee Sohyun,1999-08-27,ANS,2019-09-16,ANS,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2019,2024,5
Damhee,Park Damhee,2000-06-21,ARTBEAT,2022-11-16,AB Creative,South Korea,170.0,57.0,Unknown,F,22,19.723183391003463,2022,2024,2
Dami,Hong Dayoung,2001-06-07,ANS,2019-09-16,ANS,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2019,2024,5
Dami,Lee Yoobin,1997-03-07,Dreamcatcher,2017-01-13,Happy Face,South Korea,163.0,57.0,Seoul,F,20,21.453573713726524,2017,2024,7
Damin,Kang Damin,2004-03-24,Queenz Eye,2022-10-24,Big Mountain,South Korea,166.0,42.0,Seoul,F,19,15.241689650166935,2022,2024,2
Damon,Hu Boohan,1996-07-02,VARSITY,2017-01-05,GKC,China,181.0,57.0,Unknown,M,21,17.398736302310674,2017,2024,7
Dana,Jang Dana,2003-12-25,HOT ISSUE,2017-05-17,FNC,South Korea,170.0,57.0,Unknown,F,13,19.723183391003463,2017,2024,7
